name	age	height_cm	weight_kgs	positions	nationality	overall_rating	potential	preferred_foot	international_reputation(1-5)	weak_foot(1-5)	skill_moves(1-5)
Douglas Grolli	29	190.5	79.8	CB	Brazil	68	68	Right	1	3	2
L. Boussaha	31	152.4	77.1	ST	France	68	68	Right	1	3	2
E. Alfonso	30	190.5	87.1	GK	Italy	68	68	Right	1	2	1
Y. Eteki	21	152.4	67.1	CDM,CM,CB	Cameroon	68	78	Right	1	3	2
Oh Seung Hoon	30	193.04	78.9	GK	Korea Republic	68	68	Right	1	3	1
R. Becerra	31	187.96	87.1	ST	Argentina	68	68	Right	1	3	3
R. Benatelli	26	154.94	83	CM,LM	Germany	68	70	Right	1	4	3
J. Arce	33	175.26	69.9	LM,ST	Bolivia	68	68	Left	1	3	3
K. Salazar	23	170.18	62.1	CAM	Colombia	68	75	Right	1	5	3
L. Jallow	24	185.42	79.8	ST,RW,LW	Gambia	68	74	Right	1	3	3
F. Arancibia	22	170.18	62.1	RW,LW,LM	Chile	68	80	Left	1	2	3
N. KÃ¶rber	22	185.42	83.9	GK	Germany	68	80	Right	1	3	1
F. Harek	36	175.26	64.9	CB	Algeria	68	68	Left	1	3	2
G. Gil Romero	25	152.4	77.1	CDM	Argentina	68	72	Right	1	3	2
E. Berko	24	154.94	82.1	LW,RW,LM	Germany	68	74	Right	1	3	3
T. Acar	32	187.96	78	GK	Turkey	68	68	Right	1	1	1
J. Carvallo	33	182.88	82.1	GK	Peru	68	68	Right	1	2	1
S. Ciss	29	172.72	68.9	LB,LM,RM	Senegal	68	68	Left	1	3	3
Jorgino Baumer	35	152.4	68.9	CAM	Brazil	68	68	Right	1	3	3
B. Thompson	23	170.18	78	CM,CAM	England	68	75	Right	1	3	3
R. Gall	24	175.26	69.9	CAM,CM	United States	68	74	Right	1	4	3
F. Andrada	25	154.94	76.2	ST	Argentina	68	74	Right	1	3	3
F. Farnolle	34	195.58	103.9	GK	Benin	68	68	Right	1	2	1
J. Drachmann	30	152.4	71.2	CM,CDM	Denmark	68	68	Right	1	3	2
M. Guanini	23	190.5	86.2	CB	Argentina	68	76	Right	1	3	2
A. Gabr	30	190.5	88	CB	Egypt	68	68	Right	1	2	2
W. Kamavuaka	28	187.96	81.2	CDM,CB	DR Congo	68	68	Right	1	4	2
M. Ãlvarez	27	152.4	77.1	CF,ST,CAM	Germany	68	69	Right	1	3	3
C. Baird	23	152.4	73	ST,LW	United States	68	77	Right	1	4	2
Carlinhos	24	175.26	71.2	LW,ST,LM	Brazil	68	73	Right	1	4	4
I. Rivero	26	165.1	59.9	RWB,RB,CDM,RM	Uruguay	68	70	Right	1	3	3
J. Nolan	26	154.94	72.1	CM,CAM	England	68	71	Right	1	4	3
V. ÄŒernÃ½	21	182.88	64.9	RW,LW	Czech Republic	68	75	Left	1	3	3
Borja Granero	28	187.96	74.8	CB,CDM	Spain	68	69	Left	1	3	2
R. Gabrielsen	26	185.42	87.1	CB,RB	Norway	68	71	Right	1	3	2
A. Turgeman	27	152.4	73.9	ST	Israel	68	69	Right	1	3	3
J. Nikolaou	25	182.88	83	CDM,CB	Germany	68	72	Left	1	4	2
Casto	36	154.94	77.1	GK	Spain	68	68	Right	1	3	1
P. Sotiriou	26	185.42	81.2	ST	Cyprus	68	71	Right	1	3	3
A. La Mantia	27	190.5	81.2	ST	Italy	68	68	Right	1	3	3
K. LondoÃ±o	25	154.94	72.1	RM	Colombia	68	71	Right	1	3	3
Merquelanz	23	175.26	72.1	LW,RW	Spain	68	75	Left	1	3	3
E. Soriano	29	182.88	82.1	ST	Germany	68	68	Right	1	4	2
M. Andersen	30	195.58	91.2	GK	Denmark	68	68	Right	1	3	1
S. Ezatolahi	22	190.5	78	CM,CDM	Iran	68	79	Right	1	3	3
P. KovÃ¡Å™	33	187.96	88.9	GK	Czech Republic	68	68	Right	1	2	1
D. Daube	29	185.42	83	CM,CAM	Germany	68	68	Right	1	4	3
C. Sheridan	30	195.58	87.1	ST	Republic of Ireland	68	68	Left	1	3	3
K. Sierhuis	20	154.94	83.9	ST	Netherlands	68	78	Right	1	3	2
V. Bozhikov	30	185.42	79.8	CB,LB	Bulgaria	68	68	Left	1	3	2
R. Andrich	24	187.96	83	CM,CDM	Germany	68	73	Right	1	3	3
C. Ripley	26	190.5	96.2	GK	England	68	73	Right	1	3	1
U. Ceylan	32	193.04	84.8	GK	Turkey	68	68	Left	1	2	1
H. MaÃ¯ga	23	154.94	79.8	CDM,CM,LB	Ivory Coast	68	79	Right	1	2	3
Quini	29	152.4	73.9	RB,LB	Spain	68	68	Right	1	4	3
A. Hammoudan	27	175.26	67.1	RM,LM	Morocco	68	68	Right	1	4	4
J. Andersson	22	152.4	68	RWB,LWB	Sweden	68	76	Right	1	4	3
R. Burke	22	187.96	81.2	CB,RB	England	68	76	Right	1	3	2
L. Gordinho	24	182.88	79.8	CB	South Africa	68	73	Right	1	4	2
R. Curtis	22	182.88	77.1	LW,ST	Republic of Ireland	68	79	Right	1	4	4
MÃ¡rcio Velinha	31	187.96	86.2	GK	Brazil	68	68	Right	1	2	1
V. JugoviÄ‡	29	152.4	68.9	CM,CDM	Croatia	68	68	Right	1	4	3
P. Hofmann	25	195.58	89.8	ST	Germany	68	73	Left	1	2	2
J. Sainati	30	182.88	78	CB	France	68	68	Right	1	2	2
Koke Vegas	23	187.96	88	GK	Spain	68	77	Right	1	3	1
MauriÃ§io Clerez	27	187.96	81.2	CB	Brazil	68	68	Right	1	3	2
Sergi CanÃ³s	22	175.26	74.8	RW,LW	Spain	68	74	Right	1	3	3
A. Aosman	24	175.26	74.8	CAM,CM	Syria	68	73	Right	1	3	3
Jadson	27	187.96	79.8	CB	Brazil	68	70	Right	1	2	2
A. Oueslati	27	182.88	74.8	CAM	Tunisia	68	69	Right	1	3	4
M. KobylaÅ„ski	25	152.4	74.8	CAM,CM,CF	Poland	68	72	Right	1	3	3
Kaio PantaleÃ£o	23	182.88	76.2	CDM,CM	Brazil	68	73	Right	1	2	2
F. Moyano	21	170.18	72.1	CM,CDM,RM	Argentina	68	81	Right	1	3	3
M. Ritter	24	172.72	72.1	CAM,CM	Germany	68	73	Right	1	4	3
S. HolmÃ©n	34	154.94	73.9	CM	Sweden	68	68	Right	1	4	3
H. Pertuz	29	182.88	78	CB	Colombia	68	68	Right	1	2	2
B. Webster	31	190.5	88	CB	England	68	68	Right	1	3	2
M. Somma	23	182.88	77.1	CB,RB	Italy	68	79	Right	1	3	2
P. Ngawa	27	187.96	74.8	RB,CB,LB	Belgium	68	69	Right	1	3	2
A. BogdÃ¡n	31	193.04	92.1	GK	Hungary	68	68	Right	1	3	1
M. Pedersen	37	182.88	73.9	CM	Norway	68	68	Left	2	5	3
Evander	20	152.4	72.1	CAM,CM	Brazil	68	83	Right	1	4	3
M. Bagayoko	29	175.26	66.2	RB,RWB	Ivory Coast	68	68	Right	1	3	3
L. Memela	31	167.64	64	LW,LM,CAM,ST	South Africa	68	68	Right	1	3	3
A. O'Connor	26	187.96	77.1	CB,CDM	Republic of Ireland	68	70	Right	1	3	2
A. Mazzarani	29	154.94	74.8	CAM,CM	Italy	68	68	Right	1	3	3
Catena	24	193.04	79.8	CB,CDM	Spain	68	74	Right	1	3	2
M. LeÅ¡koviÄ‡	27	187.96	86.2	CB,CDM	Croatia	68	70	Right	1	3	2
M. Pedersen	22	152.4	73.9	LWB,LM	Denmark	68	77	Left	1	3	3
S. Morison	35	187.96	84.8	ST	Wales	68	68	Right	1	3	3
P. LugÃ¼ercio	36	152.4	78.9	RM,LM,ST	Argentina	68	68	Right	1	3	3
A. Bangoura	26	175.26	72.1	RM,LM	Guinea	68	69	Right	1	2	3
J. Obiang	25	170.18	64	LB	Gabon	68	70	Left	1	2	3
M. van der Maarel	29	152.4	73.9	LB,RB,CB	Netherlands	68	68	Right	1	3	2
M. GrÃ¼n	31	190.5	86.2	GK	Germany	68	68	Right	1	3	1
J. Larentowicz	35	185.42	78.9	CDM,CB	United States	68	68	Right	1	3	2
C. Teuchert	22	182.88	79.8	ST,RW	Germany	68	78	Right	1	3	3
Park Chu Young	33	182.88	74.8	ST,RW	Korea Republic	68	68	Right	2	3	3
G. Bueno	25	175.26	73	LW,RW	Uruguay	68	71	Left	1	3	3
C. Fandrich	28	152.4	67.1	CM	Germany	68	68	Right	1	4	3
A. Vuletich	27	185.42	78.9	ST	Argentina	69	69	Right	1	3	3
N. Frey	35	182.88	78	RB,RM	France	69	69	Right	2	3	2
C. NÃºÃ±ez	26	172.72	74.8	ST	Uruguay	69	72	Right	1	3	3
M. Romeo	23	152.4	73	RB	Antigua & Barbuda	69	77	Right	1	3	3
Muralha	26	175.26	81.2	CM,CDM	Brazil	69	71	Right	1	2	3
Jael	30	185.42	83.9	ST	Brazil	69	69	Right	1	3	3
J. Choplin	34	182.88	83	CB,LB	France	69	69	Right	1	3	2
O. Kakabadze	23	185.42	76.2	RB	Georgia	69	76	Right	1	3	3
C. Manea	21	182.88	77.1	RB	Romania	69	81	Right	1	2	2
Rochinha	23	172.72	64	RM,LM	Portugal	69	76	Right	1	3	4
A. Merkel	27	152.4	67.1	CM,CDM	Kazakhstan	69	70	Right	1	4	3
J. RamarÃ©	34	154.94	73.9	CDM,CM	France	69	69	Right	1	3	2
Sebas Coris	25	182.88	72.1	RM,RWB	Spain	69	71	Right	1	3	3
Y. Court	29	172.72	69.9	LM,RM	France	69	69	Left	1	3	3
M. Jurman	29	190.5	87.1	CB	Australia	69	69	Left	1	2	2
E. Oztumer	27	160.02	59.9	CAM	England	69	70	Left	1	3	3
G. Barriga	34	175.26	72.1	LB,LM	Chile	69	69	Left	1	2	2
S. Ganvoula	22	190.5	84.8	ST	Congo	69	76	Right	1	4	2
A. TraorÃ©	29	185.42	82.1	LB,LWB,LM	Senegal	69	69	Left	1	2	3
P. Michorl	23	175.26	71.2	CDM,CM	Austria	69	78	Left	1	3	2
D. Sciaudone	30	182.88	78	CM	Italy	69	69	Right	1	3	3
B. Bodin	26	154.94	69.9	RM,LM,RW	Wales	69	70	Left	1	4	3
A. Settembrini	27	175.26	67.1	CM	Italy	69	69	Right	1	4	3
S. Hagen	33	185.42	79.8	CB	Norway	69	69	Right	1	3	2
D. Romney	25	187.96	78.9	CB,LB,RB	United States	69	73	Left	1	3	2
K. Vandendriessche	29	182.88	83	CM,RB,CAM	France	69	69	Right	1	3	2
F. StarzyÅ„ski	27	182.88	69.9	CAM,CM	Poland	69	70	Right	1	3	3
G. MachÃ­n	36	172.72	68	CM,CDM	Argentina	69	69	Right	1	3	3
D. Furman	26	154.94	71.2	CDM,CM	Poland	69	71	Right	1	4	2
A. Wooten	29	185.42	84.8	ST	United States	69	69	Right	1	3	3
E. Hovland	30	190.5	89.8	CB	Norway	69	69	Right	1	3	2
M. FernÃ¡ndez	30	154.94	78.9	CB	Uruguay	69	69	Right	1	3	2
R. Glatzel	25	193.04	84.8	ST	Germany	69	73	Right	1	4	2
A. SjÃ¶berg	28	200.66	94.8	CB	Sweden	69	70	Right	1	2	2
A. Hjulsager	24	175.26	73	CM,RW,LW	Denmark	69	76	Right	1	3	3
V. Giraldo	33	152.4	73.9	RB	Colombia	69	69	Right	1	3	3
T. SchrÃ¶ck	26	187.96	83.9	CDM,CB,CM	Germany	69	71	Right	1	3	2
S. Dubarbier	33	152.4	77.1	LB,LWB	Argentina	69	69	Left	1	3	3
D. Rudd	28	190.5	84.8	GK	England	69	72	Right	1	3	1
A. El Kaoutari	28	154.94	82.1	CB	Morocco	69	70	Left	1	2	2
H. Belkaroui	28	185.42	88	CB	Algeria	69	70	Left	1	3	2
Undabarrena	23	182.88	76.2	CDM,CM	Spain	69	77	Right	1	3	3
T. Smith	28	187.96	82.1	CB	New Zealand	69	70	Left	1	2	2
A. Bonnet	32	172.72	64.9	LM,CAM	France	69	69	Left	1	4	3
A. KuluÅ¡iÄ‡	32	187.96	78	CB	Croatia	69	69	Right	1	3	2
D. Vente	19	154.94	69.9	ST	Netherlands	69	81	Right	1	4	3
L. Lamprou	21	182.88	76.2	LW	Greece	69	78	Right	1	4	3
A. JovanoviÄ‡	26	193.04	84.8	GK	Serbia	69	73	Right	1	1	1
S. Moreo	25	190.5	74.8	ST,RW	Italy	69	73	Right	1	3	3
J. Orejuela	26	152.4	71.2	CDM,CM	Ecuador	69	73	Right	1	3	2
L. Bridcutt	29	175.26	76.2	CDM,CM	Scotland	69	69	Right	1	3	3
M. MartÃ­nez	26	175.26	66.2	CB,CDM	Argentina	69	73	Right	1	3	3
R. Henry	21	170.18	66.2	LWB,LB	England	69	79	Left	1	2	3
K. Kawamata	29	182.88	76.2	ST	Japan	69	69	Left	1	3	3
A. KovÃ¡csik	27	193.04	81.2	GK	Hungary	69	70	Right	1	2	1
J. Chabot	21	193.04	88.9	CB	Germany	69	78	Left	1	2	2
J. Cavallaro	24	172.72	73	LM,CAM	Argentina	69	75	Right	1	3	3
TomanÃ©	26	185.42	88.9	ST	Portugal	69	72	Right	1	3	2
I. Ganago	20	175.26	78	ST	Cameroon	69	80	Right	1	3	3
Emidio Hoffman	35	187.96	78.9	CB,RB	Brazil	69	69	Right	1	3	2
M. Kolke	28	187.96	91.2	GK	Germany	69	71	Right	1	2	1
R. Millar	37	182.88	76.2	CM	Chile	69	69	Right	2	4	3
A. Matthews	27	152.4	71.2	RB	Wales	69	70	Right	1	3	3
M. Hansen	28	187.96	84.8	GK	Denmark	69	72	Right	1	3	1
S. Rashidov	27	182.88	76.2	RW,ST	Uzbekistan	69	69	Left	1	3	3
L. BÃ©nes	21	154.94	72.1	CAM,CM	Slovakia	69	80	Left	1	3	3
A. Karabulut	31	152.4	69.9	LM	Turkey	69	69	Left	1	3	3
S. Villa	22	152.4	71.2	RW,LW,ST	Colombia	69	79	Right	1	3	3
G. Whelan	35	154.94	79.8	CDM,CM	Republic of Ireland	69	69	Right	2	3	2
A. Lang	26	187.96	83	CB,RB	Hungary	69	71	Right	1	3	2
R. de la Fuente	28	175.26	74.8	LB	Chile	69	69	Left	1	2	3
D. Novaretti	33	193.04	91.2	CB	Argentina	69	69	Left	1	3	2
M. Ponce	29	175.26	82.1	LB	Mexico	69	69	Left	1	4	3
P. Tsintotas	25	193.04	89.8	GK	Greece	69	75	Right	1	2	1
R. GonzÃ¡lez	28	182.88	78	CB	Argentina	69	69	Right	1	3	2
Brian OlivÃ¡n	24	152.4	69.9	LB	Spain	69	76	Left	1	3	3
D. Monsalve	34	187.96	82.1	CB	Colombia	69	69	Right	1	4	2
M. Cassierra	21	182.88	74.8	ST,CF	Colombia	69	76	Right	1	3	3
D. TokÃ¶z	22	154.94	74.8	CDM	Turkey	69	75	Right	1	3	3
H. Fertoli	24	175.26	63	LM,RM,LW	Argentina	69	75	Right	1	3	3
L. Tremolada	27	185.42	78	CAM,CM	Italy	69	70	Left	1	3	3
C. Antwi-Adjej	25	172.72	72.1	LM,CAM,RM	Germany	69	72	Right	1	3	3
Matheus Reis	24	182.88	78.9	LB	Brazil	69	73	Left	1	2	3
S. Rossbach	23	187.96	79.8	GK	Norway	69	79	Right	1	3	1
C. Donis	24	185.42	73.9	CM,ST,CAM	Greece	69	76	Right	1	3	3
J. Roye	30	175.26	68	CM,CAM	France	69	69	Right	1	3	3
M. DupÃ©	26	187.96	88	GK	France	69	71	Right	1	2	1
R. Towell	27	172.72	66.2	CM	Republic of Ireland	69	70	Right	1	4	3
S. Caulker	27	190.5	77.1	CB	England	69	72	Right	2	2	2
T. Eisfeld	26	152.4	76.2	CAM,CM,LM	Germany	69	72	Right	1	3	3
N. Giannetti	27	154.94	73	ST,LW	Italy	69	69	Right	1	4	3
M. SchÃ¶nbÃ¤chler	29	170.18	67.1	LM,RM	Switzerland	69	69	Right	1	4	3
S. Moutoussamy	22	175.26	72.1	CM,CDM	France	69	78	Left	1	3	3
Edu Ramos	27	152.4	67.1	CDM,CM	Spain	69	72	Right	1	3	2
C. Schneuwly	31	152.4	73.9	RM,CAM	Switzerland	69	69	Right	1	3	3
M. Roberts	28	193.04	81.2	CB	England	69	71	Right	1	2	2
A. Vural	28	187.96	79.8	GK	Turkey	69	71	Right	1	2	1
J. Gastien	31	152.4	68.9	CDM,CM	France	69	69	Right	1	3	3
C. Salcido	38	175.26	79.8	CB,CDM	Mexico	69	69	Right	2	3	2
S. Winnall	28	175.26	71.2	ST	England	69	69	Right	1	4	2
B. Shuttleworth	31	187.96	93	GK	United States	69	69	Right	1	2	1
AdriÃ¡n DiÃ©guez	23	187.96	68.9	CB,LB	Spain	69	77	Left	1	3	2
M. Ã‡elik	29	152.4	74.8	CAM,ST,LM	Turkey	69	69	Right	1	3	3
Felipe Macedo	24	187.96	76.2	CB	Brazil	69	75	Right	1	2	2
C. Avinel	32	154.94	69.9	CB	France	69	69	Right	1	3	2
Jonathan Pereira	31	167.64	60.8	ST,LM	Spain	69	69	Right	1	3	3
J. Fuchs	21	175.26	69.9	CDM,CM	Cameroon	69	80	Right	1	3	2
D. Saint-Louis	23	182.88	78	LW,RW,ST,RM	Congo	69	75	Right	1	3	3
B. van Polen	33	152.4	73	LB,CB,RB	Netherlands	69	69	Right	1	3	2
M. Senesi	21	182.88	79.8	CB	Argentina	69	80	Left	1	3	2
J. Grahl	30	193.04	88.9	GK	Germany	69	70	Right	1	2	1
Y. Opanasenko	28	154.94	73.9	RB,LB	Ukraine	69	69	Right	1	3	3
F. Mattia	30	190.5	77.1	CB	Argentina	69	69	Right	1	3	2
H. Toledo	23	152.4	72.1	LW,LM,RM	Argentina	69	74	Right	1	3	3
W. Johnson	32	152.4	72.1	CDM,RB	Canada	69	69	Right	1	4	3
CotÃ¡n	23	175.26	67.1	CDM,CM,CAM	Spain	69	76	Right	1	3	3
E. Ruud	35	182.88	76.2	RB	Norway	69	69	Right	1	3	2
Q. Bernard	29	182.88	77.1	LB	France	69	69	Left	1	3	2
S. Eriksson	30	182.88	74.8	CM,CB	Sweden	69	69	Left	1	3	2
T. Kirschbaum	31	195.58	91.2	GK	Germany	69	69	Left	1	1	1
M. Sonnleitner	32	182.88	82.1	CB	Austria	69	69	Right	1	3	2
E. PÃ©rez	30	175.26	79.8	RB,CB	Mexico	69	69	Right	1	3	2
H. DuljeviÄ‡	25	185.42	82.1	LW,LM	Bosnia Herzegovina	69	72	Right	1	3	3
O. Ejaria	21	182.88	74.8	CM,CAM	England	69	83	Right	1	3	4
M. Sissoko	34	190.5	84.8	CDM,CM	Mali	69	69	Right	2	3	3
G. Lovrencsics	30	152.4	78.9	RB,RM	Hungary	69	69	Right	1	4	3
R. Wallace	33	167.64	64	RM	Scotland	69	69	Left	1	3	3
Wang Dalei	30	187.96	91.2	GK	China PR	69	69	Right	1	3	1
Kim Jin Hyeon	31	193.04	78	GK	Korea Republic	69	69	Right	1	3	1
Alex Pozo	20	172.72	62.1	LM,RM,CAM	Spain	69	80	Right	1	3	3
S. Ekramy	35	193.04	93	GK	Egypt	69	69	Right	1	3	1
J. Mendoza	26	170.18	69.9	LM,RM,CM,ST	Argentina	69	70	Left	1	3	3
N. Moiraghi	33	154.94	79.8	CB	Argentina	69	69	Left	1	3	2
A. Mbengue	25	152.4	68	LB	Senegal	69	74	Left	1	3	3
A. Meijers	31	175.26	77.1	LB	Netherlands	69	69	Left	1	4	3
P. Burner	22	170.18	64.9	RB,LB	France	69	77	Right	1	3	3
D. Davis	28	152.4	82.1	CM,CAM	England	69	69	Right	1	3	3
G. Taylor	21	175.26	62.1	LB,CM,LM	Scotland	69	83	Left	1	3	2
F. Honorat	22	154.94	69.9	RM,RW	France	69	79	Right	1	2	3
D. Diamantakos	26	182.88	81.2	ST	Greece	69	72	Left	1	2	3
N. Chernov	23	187.96	78.9	CB	Russia	69	79	Right	1	1	2
M. Frydrych	29	187.96	83	RB,CB	Czech Republic	69	69	Right	1	2	2
S. Ã‡iftpÄ±nar	26	154.94	78	CB	Turkey	69	71	Right	1	2	2
C. Songkrasin	25	157.48	55.8	CF,LW,RW	Thailand	69	72	Right	1	3	4
S. Rochet	25	190.5	82.1	GK	Uruguay	69	73	Right	1	3	1
A. Barberis	25	152.4	72.1	CM,CDM	Italy	69	74	Right	1	2	2
K. Stewart	25	154.94	73	CDM,CM	England	69	72	Right	1	3	3
A. Abdi	32	154.94	74.8	CM,CAM	Switzerland	69	69	Right	2	4	3
P. Abrahamsson	30	190.5	84.8	GK	Sweden	69	69	Right	1	3	1
A. Ngando	25	152.4	71.2	CAM,CM	France	69	71	Left	1	3	3
Kim Sung Joon	30	175.26	68	CM,CDM,CAM	Korea Republic	69	69	Right	1	3	3
F. Schleusener	27	185.42	79.8	ST,LM	Germany	69	70	Right	1	4	3
M. AlbÃ¦k	29	185.42	77.1	CDM,CM	Denmark	69	69	Left	1	3	2
P. GarcÃ©s	34	154.94	77.1	GK	Chile	69	69	Right	1	3	1
Y. Njie	25	187.96	78	ST,RM	Gambia	69	74	Right	1	3	3
Jonaldo Monteiro	31	152.4	73.9	LB,LWB,LM	Brazil	69	69	Left	1	3	2
J. CÃ¡diz	23	190.5	78	ST	Venezuela	69	75	Right	1	2	3
G. Monachello	25	182.88	78.9	ST	Italy	69	75	Left	1	3	3
J. Mansilla	31	152.4	73.9	LM,CM	Argentina	69	69	Left	1	3	3
J. Peters	31	182.88	78	CB	Netherlands	69	69	Left	1	3	2
P. Lienhart	22	187.96	79.8	CB	Austria	69	77	Right	1	3	2
P. Erras	24	195.58	84.8	CDM	Germany	69	74	Right	1	3	2
J. CarreÃ±o	22	165.1	64.9	CM,CDM	Chile	69	77	Right	1	3	3
M. Caillard	24	190.5	87.1	GK	France	69	75	Right	1	3	1
Verdasca	22	185.42	81.2	CB,CDM	Portugal	69	79	Right	1	3	2
M. BaÅ¡iÄ‡	30	187.96	82.1	CDM,CB	Croatia	69	69	Right	1	3	2
Raillo	27	185.42	77.1	CB	Spain	69	72	Right	1	3	2
K. Kraus	26	190.5	91.2	CB	Germany	69	70	Right	1	3	2
J. Butterfield	28	175.26	77.1	CM	England	69	69	Right	1	5	3
A. Blanco	31	182.88	88	GK	Mexico	69	69	Left	1	3	1
D. Stockdale	33	190.5	83.9	GK	England	69	69	Right	1	3	1
A. Kalulu	23	165.1	66.2	RM,ST,RW	France	69	78	Right	1	3	3
Sergio Santos	24	154.94	77.1	ST,LW	Brazil	69	73	Left	1	4	3
M. VilhjÃ¡lmsson	32	185.42	84.8	ST,CM	Iceland	69	69	Right	1	3	3
J. Carrasso	30	187.96	82.1	GK	France	69	69	Right	1	4	1
T. Iwanami	24	185.42	72.1	CB	Japan	69	72	Right	1	3	2
Z. YÄ±ldÄ±rÄ±m	28	154.94	74.8	CDM	Turkey	69	69	Right	1	3	3
P. Seguin	23	185.42	78.9	RB,CDM	Germany	69	76	Right	1	3	3
Aguza	26	175.26	68	CDM,CM,LM	Spain	69	74	Right	1	4	2
D. Marcq	30	182.88	77.1	CDM,CM	France	69	69	Right	1	3	2
B. Sosa	21	185.42	77.1	LB	Croatia	69	80	Left	1	3	3
D. Crowley	21	170.18	71.2	CAM,CM	England	69	75	Right	1	3	3
H. Belkebla	25	152.4	68	CDM,CM	Algeria	69	75	Right	1	3	3
J. Harrop	23	175.26	69.9	CAM,LM	England	69	77	Right	1	3	3
A. Ignjovski	28	175.26	71.2	RB,CDM,LB	Serbia	69	69	Right	2	4	2
C. MoÅ£i	34	182.88	78	CB	Romania	69	69	Right	1	3	2
S. AllagbÃ©	25	187.96	71.2	GK	Benin	69	75	Right	1	2	1
C. Arrieta	23	175.26	68.9	RB	Colombia	69	77	Right	1	3	2
C. Leemans	23	187.96	78.9	CM,CDM	Netherlands	69	74	Left	1	4	3
E. Salli	26	170.18	71.2	RM,LM,ST	Cameroon	69	70	Right	1	4	4
S. Sirigu	30	182.88	78.9	RB,RM	Germany	69	69	Right	1	2	3
J. Glesnes	24	187.96	83.9	CB	Norway	69	77	Right	1	3	2
J. Lowe	24	182.88	74.8	RW,ST	England	69	75	Right	1	4	4
Nicolas	30	190.5	84.8	GK	Brazil	69	69	Right	1	3	1
O. Mazuch	29	187.96	88	CB	Czech Republic	69	69	Right	1	2	2
Jorge Fernandes	21	193.04	83	CB	Portugal	69	77	Right	1	2	2
N. Rapp	22	185.42	82.1	CB,CDM	Germany	69	79	Right	1	4	2
A. OriÃ³n	37	187.96	84.8	GK	Argentina	69	69	Right	1	3	1
M. Ciofani	31	182.88	76.2	RB,RM	Italy	69	69	Right	1	4	2
Marcos JÃºnior	26	167.64	63	CAM,CF	Brazil	69	72	Right	1	4	3
Lee Seul Chan	25	172.72	64.9	LB,LM	Korea Republic	69	74	Right	1	4	3
Niltinho	25	175.26	68	LW,RW	Brazil	69	72	Left	1	3	4
Alberto MartÃ­n	29	152.4	73	CDM,CM	Spain	69	69	Right	1	3	2
A. GuÃ°mundsson	21	152.4	79.8	RW,CAM	Iceland	69	81	Right	1	3	3
FÃ¡bio China	26	152.4	68	LB	Portugal	69	70	Left	1	3	3
M. Salvi	25	187.96	79.8	GK	Switzerland	69	74	Right	1	3	1
S. Celozzi	30	170.18	73.9	RB,CDM,CM	Germany	69	69	Right	1	3	3
J. Silva	24	190.5	78	CB,RB	Mexico	69	74	Right	1	2	2
F. Oreja	36	167.64	68.9	RB,CB	Argentina	69	69	Right	1	2	2
G. Courtet	30	154.94	76.2	ST	France	69	69	Right	1	3	3
T. Beermann	28	187.96	84.8	CB	Germany	69	69	Left	1	3	2
Jung Jo Gook	34	185.42	77.1	ST	Korea Republic	69	69	Right	1	3	2
N. Barrios	20	154.94	58.1	LM,CAM	Argentina	69	82	Right	1	3	3
KaÃ­que Mutto	27	190.5	82.1	GK	Brazil	69	69	Right	1	3	1
D. Giannoulis	23	152.4	71.2	LB	Greece	69	76	Left	1	2	3
A. Vindheim	23	182.88	78.9	RWB	Norway	69	76	Right	1	3	2
Y. Okubo	36	170.18	73	ST,CAM	Japan	69	69	Right	2	4	3
J. Kappelhof	28	154.94	74.8	CB,RB	Netherlands	69	70	Right	1	3	2
G. VelÃ¡zquez	27	154.94	78	CB	Paraguay	69	71	Right	1	3	2
M. VeÅ¡oviÄ‡	27	152.4	69.9	RB,RM	Montenegro	69	69	Right	1	2	3
D. Melo	24	152.4	76.2	GK	Chile	69	76	Right	1	1	1
C. AcuÃ±a	30	175.26	74.8	ST,LM,RM	Paraguay	69	69	Right	1	3	3
A. Keogh	32	182.88	73	ST	Republic of Ireland	69	69	Right	1	4	3
Kim Shin Wook	30	195.58	93	ST	Korea Republic	69	69	Right	2	3	2
F. Cassata	21	182.88	74.8	CM	Italy	69	80	Right	1	3	3
N. Ueda	24	185.42	77.1	CB	Japan	69	74	Right	1	2	2
AdriÃ¡n OrtolÃ¡	25	182.88	72.1	GK	Spain	69	75	Left	1	3	1
S. Hanca	26	182.88	79.8	RM,RB,CM	Romania	69	70	Right	1	3	3
R. Dugimont	32	182.88	74.8	CAM,ST	France	69	69	Right	1	3	3
D. Rubio	25	152.4	77.1	ST	Chile	69	73	Right	1	3	3
D. Pisot	31	185.42	79.8	CB	Germany	69	69	Right	1	3	2
Emerson	20	182.88	74.8	RB	Brazil	69	82	Right	1	3	3
A. Favilli	21	190.5	78	ST	Italy	69	81	Left	1	3	3
M. Morys	31	182.88	78	LM,ST,RM,LW	Germany	69	69	Right	1	3	3
T. Jibril	20	152.4	73.9	RW,ST	Nigeria	69	76	Right	1	3	3
T. TourÃ©	25	175.26	72.1	LM,ST,RM,CAM	Ivory Coast	69	71	Right	1	3	3
P. Cibicki	25	182.88	66.2	LM,ST,RM	Sweden	69	71	Right	1	2	3
S. Bateau	28	185.42	84.8	CB,RB,RWB	Trinidad & Tobago	69	71	Right	1	3	2
N. MÃ¤enpÃ¤Ã¤	34	190.5	86.2	GK	Finland	69	69	Right	1	3	1
